Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
4/12/2024,OPT,PSE,Gaza Strip,"31,44821579","34,39340829",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Violence Affecting Marketgoers, Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",87598,22/1/2025,18/9/2025
4/12/2024,OPT,PSE,Gaza Strip,"31,3474","34,2226",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Firearms,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,91110,13/3/2025,18/9/2025
2/12/2024,OPT,PSE,Gaza Strip,"31,3191","34,3401",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Agricultural Land,91104,13/3/2025,18/9/2025
1/12/2024,OPT,PSE,Gaza Strip,"31,5168","34,4355",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91103,13/3/2025,18/9/2025
30/11/2024,OPT,PSE,Gaza Strip,"31,55012685","34,50331338",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,Attack On Aid Workers Carrying Out Food-Related Programme,86937,6/1/2025,18/9/2025
30/11/2024,OPT,PSE,Gaza Strip,"31,3443293","34,3095897","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Disruption Of Aid, Attack On Aid Workers Carrying Out Food-Related Programme",86939,6/1/2025,18/9/2025
30/11/2024,OPT,PSE,Gaza Strip,"31,3637","34,3228",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,People Carrying Out Food Activity,Attack On Persons Carrying Out Food Activity,91100,13/3/2025,13/3/2025
30/11/2024,OPT,PSE,Gaza Strip,"31,323","34,2761",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91101,13/3/2025,18/9/2025
29/11/2024,OPT,PSE,Gaza Strip,"31,4214","34,3865",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Artillery,Food Production,Damage/Destruction Of Agricultural Land,91099,13/3/2025,18/9/2025
28/11/2024,OPT,PSE,Gaza Strip,"31,5045","34,4743",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91097,13/3/2025,18/9/2025
27/11/2024,OPT,PSE,Gaza Strip,"31,55012685","34,50331338","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Unspecified Explosive,"Food Supply, Aid Systems","Damage/Destruction To Food Storage Infrastructure, Disruption Of Aid",86558,23/12/2024,18/9/2025
26/11/2024,OPT,PSE,Gaza Strip,"31,5349","34,4667",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91093,13/3/2025,18/9/2025
26/11/2024,OPT,PSE,Gaza Strip,"31,287","34,2595",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,No Information on the Weapon Used,Food Supply,Violence Affecting Marketgoers,91094,13/3/2025,18/9/2025
22/11/2024,OPT,PSE,Gaza Strip,"31,5304","34,4215",(7) Estimated sea/air coordinates,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Production,Damage/Destruction Of Food-Related Equipment,91087,13/3/2025,18/9/2025
20/11/2024,OPT,PSE,Gaza Strip,"31,5086","34,4493",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",91082,13/3/2025,18/9/2025
